Avg. Change in Pop.,Avg. Change in Internet Use,Avg. Change in Hom. Count,Avg. Change in Hom. Rate
10811,3.21,-9,-0.1
8658,3.02,20,0.2
10300,4.08,30,0.2
10375.5,2.04,-61,-0.5
4837.5,4.14,6,0
5232.5,5.03,-6,0
78132,0.133057645,4,0
71677,1.063661731,-144,-4
28479,1.31582452,-72,-2.1
56025,2.618035972,-59,-1.6
-80897,5.208965559,102,2.6
21557,5.15538271,52,1.4
19616,1.91761665,34,0.9
19726,2.15937809,6,0.2
16575,2.42371257,10,0.3
16947,1.26931222,-26,-0.6
15722,2.04236776,-23,-0.6
14599,2.41758179,-17,-0.4
11662,10.14,76,2.1
13251,3.5,87,2.3
-241499,3.8,89,2.4
25263,1.45931143,2,0.2
52157,4.03184593,0,-0.1
140101,4.24061893,-4,-0.5
289923,8.02588729,28,2.3
222274,7.3,-17,-1.6
-73331,0.146669893,-36,-0.1
-61695,0.223822027,-29,-0.1
-43122,1.792204797,-134,-0.6
-44781,0.459930744,7,0
-22817,0.916137074,15,0.1
-26812,0.924951738,16,0.1
-727419,2.041330971,-34,-0.1
-61237,2.32,-12,-0.1
45819,6.1,-35,-0.1
102707,6.5,-63,-0.3
202011,3.16,-15,-0.1
280547,3.64,-22,-0.1
373939,4.12,77,0.4
834499,4.18,-72,-0.3
-1540,0.312990119,3,6.6
-610,1.085250665,1,2
2330,1.056629437,-2,-4.6
-2050,1.462370196,-3,-6.7
1168,3.091380613,11,6.8
1969,6.459971816,8,4.8
1540,6.34063769,-6,-4
1761,0.4127389,1,0.4
1896,0.17237059,4,2.2
2057,2.93241705,2,0.9
1951,3.4,-14,-8.5
1993,4.1,10,5.7
2039,4,0,-0.3
390618.3333,1.930297027,25.66666667,0.066666667
659523,2.232950109,51,0.2
440732,2.47050299,-4,-0.1
559855,6.75451836,-42,-0.2
-29200,0.9,9,0.1
-29990,5.95,15,0.1
-32144,2.45,-31,-0.3
-15285,2.5,5,0.1
-14130,2.8,-22,-0.3
54617,5.476540308,-20,-0.6
55271,5.12166139,8,0.2
56615,6.11914674,-2,-0.1
49663,4.56466977,3,0
43682,11.84456307,-3,-0.1
52539,5.67042518,-7,-0.1
57042,5.32957482,-8,-0.3
-16053,6.83794329,2,0.1
46375,8.16205671,-5,-0.1
54548,-1,2,0
58080,-2,-4,-0.1
57188,10.9,1,0
59577,-0.9,0,0
91217,0,7,0.1
37845,2,-6,-0.1
17530,0,-3,-0.1
3664,2.173286662,-6,-0.3
-4283,2.516165289,-12,-0.6
2954,2.50633558,11,0.6
3367.5,2.49932113,11,0.5
3135.5,15.06565091,-8,-0.4
-28024,-2.33702505,8,0.4
1055,4.01590759,-15,-0.7
231,8.95520699,7,0.3
4110,6,-8,-0.4
7402,7.2,-8,-0.4
1861,2.73,12,0.6
6460,1.26,-14,-0.7
9733,6,3,0.1
4641,6,2,0.1
847240.6,1.100947277,-813,-2.64
60602,0.951046676,-14,0
53007,1.471472221,66,0.2
47827,1.558572769,59,0.1
46870,2.723147284,-36,-0.1
509375,6.539921132,67,0.2
919979,4.52376188,24,0
769776,2.24127731,-13,0
404313,19.54,23,0
351218,4.08,-67,-0.2
437165,3.87,-2,0
347354,2.49,-42,-0.1
424141,4.74,6,0
432937,4.49,-56,-0.2
256106,2.8,-27,0
119074,3.4,-9,-0.1
15116.33333,0.737821448,-2.666666667,2.566666667
11683,1.356172419,-14,-3
5714,1.711789564,8,1.5
5713,4.610373058,-17,-3.5
7082,6.95,-2,-0.5
7091,10.3,-19,-3.7
7003,3.945575516,14,0.2
3126,14.6843478,-6,-0.1
3350,9.73956477,2,0.1
6901,7.96527083,6,0
14233,4.25486905,-10,-0.1
23851,6.07801273,-5,-0.1
29000,18.80433506,15,0.2
50710,8.56,-16,-0.2
17861,4.76,26,0.3
36041,0.94,-28,-0.3
50933,2.93,12,0.1
32752,-5.75,21,0.2
34835,7.99,-32,-0.3
36710,1,10,0.1
42167.5,-1,-1,0
31164,0.997649537,1,0
17055,10.55034325,4,0
21096,9.7,-11,-0.1
33989,9.2,13,0.1
144019,13.1,-20,-0.2
-55377,8,17,0.2
52120,6.3,0,0
54249,3.7,-13,-0.2
50623,2.7,6,0.1
47491,2.3,-4,-0.1
46819,5.6,-15,-0.2
24804,1.5,-9,-0.1
42377,2,3,0
96156,2.1,-3,0
83950,2.6,1,0
144611.2857,1.02128856,-18.42857143,-0.328571429
141576.6667,1.450793494,-3.666666667,-0.066666667
506521.8,1.871095872,-148.8,-0.28
5399,2.5,156,11.6
1519,9.5,-41,-3.2
7608,4.2,-34,-2.7
-417449.5,0.07786895,-127,-0.2
-393600,0.102253907,34,0.2
-394282,0.104309656,61,0.2
-394838,0.310798314,182,0.4
-1215186,0.522575785,48,0.2
-606705.5,0.954684021,-406.5,-0.75
-551837.5,0.341350293,-253,-0.5
-268526.5,1.02017404,-294,-0.566666667
-136691,4.45,-199,-0.4
-228950,6.9,-229,-0.5
-180767,5.4,-122,-0.2
-13784.576,0.58237993,4,0.2
170.251,0.29803252,13,0.3
71650.325,4.51766652,-34,-1
-139174,1.12596162,3,0.1
3991,3.02509122,-12,-0.3
8743,9.31181044,15,0.4
9440,4.6,-10,-0.3
10146,5.3,28,0.8
10886,2.5,6,0.2
11646,4.6,-22,-0.7
-70707,5.00466106,-6,-0.2
302609,0.010075704,-20,-0.15
696493,0.453658965,54,0.2
314018,0.113220686,13,0
301615,0.657513592,-59,-0.25
